Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Defra.Trade.Events.IDCOMS.PLNotifier.Application\Defra.Trade.Events.IDCOMS.PLNotifier.Application.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier.Application\Defra.Trade.Events.IDCOMS.PLNotifier.Application.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
NuGet.0005,NuGet package is deprecated,Active,Optional,1,tst\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests.csproj,File,tst\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests.csproj,,,xunit 2.9.0,,,,,"xunit, 2.9.0  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,tst\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests.csproj,File,tst\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests\Defra.Trade.Events.IDCOMS.PLNotifier.Application.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
AzureFunctionsUpgrade.0002,Enable the use of the V2 model for Azure Functions projects and enable Application Insights.,Active,Mandatory,3,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,,,,,,,,
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,,,Microsoft.NET.Sdk.Functions 4.4.1,,,,,"Microsoft.NET.Sdk.Functions, 4.4.1  Recommendation:  Remove Microsoft.NET.Sdk.Functions, and replace with new package Microsoft.Azure.Functions.Worker.Extensions.Http 3.3.0, Microsoft.Azure.Functions.Worker.Sdk 2.0.7, Microsoft.Azure.Functions.Worker 2.52.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Infrastructure\ConfigureMappingExtensions.cs,20,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,hostBuilder.Services.AddAutoMapper(typeof(ApprovalProfile).Assembly);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Infrastructure\ConfigureMappingExtensions.cs,19,8,T:Microsoft.Extensions.DependencyInjection.ServiceCollectionExtensions,,,,,hostBuilder.Services.AddAutoMapper(assembly);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Infrastructure\ServiceRegistrations.cs,42,8,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<ServiceBusSettings>(configuration.GetSection(ServiceBusSettings.OptionsName));
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,File,src\Defra.Trade.Events.IDCOMS.PLNotifier\Defra.Trade.Events.IDCOMS.PLNotifier.csproj,,,Microsoft.Azure.WebJobs.Extensions.ServiceBus 5.16.4,,,,,"Microsoft.Azure.WebJobs.Extensions.ServiceBus, 5.16.4  Recommendation:  Package functionality included with new framework reference"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,tst\Defra.Trade.Events.IDCOMS.PLNotifier.Tests\Defra.Trade.Events.IDCOMS.PLNotifier.Tests.csproj,File,tst\Defra.Trade.Events.IDCOMS.PLNotifier.Tests\Defra.Trade.Events.IDCOMS.PLNotifier.Tests.csproj,,,xunit 2.9.0,,,,,"xunit, 2.9.0  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
